dataset,wv_type,model_name,accuracy_score,precision_score,recall_score,f1_score
SecReq,tfidf,SVC,0.8802816901408451,0.8710869565217392,0.867808661926309,0.8693934967267218
SecReq,tfidf,AdaBoostClassifier,0.852112676056338,0.8453351449275363,0.8285929756517991,0.8356028446992667
SecReq,tfidf,RandomForestClassifier,0.8169014084507042,0.8304405874499332,0.766645119586296,0.7831806436457599
nfr_binary,tfidf,SVC,0.8776595744680851,0.8754148885727833,0.8705393705393706,0.872729948491538
nfr_binary,tfidf,RandomForestClassifier,0.8351063829787234,0.8521220159151194,0.8106353106353106,0.8208698324880898
nfr_binary,tfidf,AdaBoostClassifier,0.8031914893617021,0.8111979166666667,0.7796302796302796,0.7875576459090492
SecReq,pre_trained_wv,AdaBoostClassifier,0.8943661971830986,0.8841880341880342,0.8874165050635638,0.8857480019310198
SecReq,pre_trained_wv,SVC,0.8661971830985915,0.8581560283687943,0.8482008187890541,0.8526890526890527
SecReq,pre_trained_wv,RandomForestClassifier,0.8169014084507042,0.8094902513507165,0.7838827838827839,0.7932810750279955
nfr_binary,pre_trained_wv,SVC,0.8776595744680851,0.8754148885727833,0.8705393705393706,0.872729948491538
nfr_binary,pre_trained_wv,RandomForestClassifier,0.8563829787234043,0.8682795698924731,0.8366093366093366,0.845915672525271
nfr_binary,pre_trained_wv,AdaBoostClassifier,0.7872340425531915,0.7819910918502468,0.7740727740727741,0.7771455666192508
