text,labels,processed_text,bigrams,trigrams,labels_num
 The OPEN may also support additional selection processes.,nonsec,"['open', 'support', 'additional', 'selection', 'process']","['open', 'support', 'additional', 'selection', 'process']","['open', 'support', 'additional', 'selection', 'process']",0
"If a supported scheme provider has a dispute resolution process, participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions",nonsec,"['support', 'scheme', 'provider', 'dispute', 'resolution', 'process', 'participate', 'dispute', 'resolution', 'process', 'connect', 'processor', 'resolve', 'issue', 'relate', 'invalid', 'transaction', 'resolution', 'process', 'include', 'mechanism', 'repayment', 'fund', 'associate', 'invalid', 'transaction']","['support', 'scheme_provider', 'dispute', 'resolution', 'process', 'participate', 'dispute', 'resolution', 'process', 'connect', 'processor', 'resolve', 'issue', 'relate', 'invalid', 'transaction', 'resolution', 'process', 'include', 'mechanism', 'repayment', 'fund', 'associate', 'invalid', 'transaction']","['support', 'scheme_provider', 'dispute', 'resolution', 'process', 'participate', 'dispute', 'resolution', 'process', 'connect', 'processor', 'resolve', 'issue', 'relate', 'invalid', 'transaction', 'resolution', 'process', 'include', 'mechanism', 'repayment', 'fund', 'associate', 'invalid', 'transaction']",0
Multiple public identities on the same terminal shall be supported.,nonsec,"['multiple', 'public', 'identity', 'terminal', 'shall', 'support']","['multiple', 'public_identity', 'terminal', 'shall', 'support']","['multiple', 'public_identity', 'terminal', 'shall', 'support']",0
Protection mechanisms shall be implemented to avoid that a management client could access and modify parameters that is not allow to configure.,nonsec,"['protection', 'mechanism', 'shall', 'implement', 'avoid', 'management', 'client', 'access', 'modify', 'parameter', 'allow', 'configure']","['protection', 'mechanism', 'shall', 'implement', 'avoid', 'management', 'client', 'access', 'modify', 'parameter', 'allow', 'configure']","['protection', 'mechanism', 'shall', 'implement', 'avoid', 'management', 'client', 'access', 'modify', 'parameter', 'allow', 'configure']",0
"Two-way, or mutual, authentication, where the card authenticates the terminal and the terminal authenticates the card for each transaction, must be performed for off-line transactions",sec,"['way', 'mutual', 'authentication', 'card', 'authenticate', 'terminal', 'terminal', 'authenticate', 'card', 'transaction', 'perform', 'line', 'transaction']","['way', 'mutual', 'authentication', 'card', 'authenticate', 'terminal', 'terminal', 'authenticate', 'card', 'transaction', 'perform', 'line', 'transaction']","['way', 'mutual', 'authentication', 'card', 'authenticate', 'terminal', 'terminal', 'authenticate', 'card', 'transaction', 'perform', 'line', 'transaction']",1
All load transactions are on-line transactions. Authorization of funds for load transactions must require a form of cardholder verification. The load device must support on-line encrypted PIN or off-line PIN verification,sec,"['load', 'transaction', 'line', 'transaction', 'authorization', 'fund', 'load', 'transaction', 'require', 'form', 'cardholder', 'verification', 'load', 'device', 'support', 'line', 'encrypt', 'pin', 'line', 'pin', 'verification']","['load', 'transaction', 'line', 'transaction', 'authorization', 'fund', 'load', 'transaction', 'require', 'form', 'cardholder', 'verification', 'load', 'device', 'support', 'line', 'encrypt', 'pin', 'line_pin', 'verification']","['load', 'transaction', 'line', 'transaction', 'authorization', 'fund', 'load', 'transaction', 'require', 'form', 'cardholder', 'verification', 'load_device', 'support', 'line', 'encrypt', 'pin', 'line_pin_verification']",1
" If a full or partial match is found and this Application is in the Life Cycle State LOCKED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. In the eventuality that this locked Application is already currently selected on the same Supplementary Logical Channel, the OPEN shall terminate this Application Session. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,"['partial', 'match', 'find', 'application', 'life', 'cycle', 'state', 'locked', 'continue', 'search', 'globalplatform', 'registry', 'subsequent', 'partial', 'match', 'eventuality', 'lock', 'application', 'currently', 'select', 'supplementary', 'logical', 'channel', 'open', 'shall', 'terminate', 'application', 'session', 'subsequent', 'partial', 'match', 'find', 'open', 'shall', 'return', 'appropriate', 'error', 'card', 'entity']","['partial_match', 'find', 'application', 'life_cycle', 'state', 'locked', 'continue', 'search', 'globalplatform_registry', 'subsequent_partial', 'match', 'eventuality', 'lock', 'application', 'currently_select', 'supplementary_logical', 'channel', 'open', 'shall', 'terminate', 'application', 'session', 'subsequent_partial', 'match_find', 'open', 'shall', 'return_appropriate', 'error', 'card', 'entity']","['partial_match_find', 'application', 'life_cycle_state', 'locked', 'continue', 'search_globalplatform_registry', 'subsequent_partial', 'match', 'eventuality', 'lock', 'application', 'currently_select', 'supplementary_logical_channel', 'open', 'shall', 'terminate', 'application', 'session', 'subsequent_partial_match_find', 'open', 'shall', 'return_appropriate_error', 'card', 'entity']",0
"The CND shall provide its registration identity, when it requires the registration to the network.",nonsec,"['cnd', 'shall', 'provide', 'registration', 'identity', 'require', 'registration', 'network']","['cnd', 'shall', 'provide', 'registration', 'identity', 'require', 'registration', 'network']","['cnd', 'shall', 'provide', 'registration', 'identity', 'require', 'registration', 'network']",0
Send transactions to card issuers or their processors in a standard format defined in agreement with the scheme provider,nonsec,"['send', 'transaction', 'card', 'issuer', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme', 'provider']","['send', 'transaction', 'card', 'issuer', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme_provider']","['send', 'transaction', 'card_issuer', 'processor', 'standard', 'format', 'define', 'agreement', 'scheme_provider']",0
 All other commands (including the MANAGE CHANNEL commands on cards that are not aware of logical channels or SELECT commands not described in section 6.4.2.1.2 - Explicit Selection) are immediately dispatched to the Application currently selected on the Basic Logical Channel. The processing of the command by the Application is beyond the scope of this Specification.,nonsec,"['command', 'include', 'manage', 'channel', 'command', 'card', 'aware', 'logical', 'channel', 'select', 'command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently', 'select', 'basic', 'logical', 'channel', 'processing', 'command', 'application', 'scope', 'specification']","['command', 'include', 'manage', 'channel', 'command', 'card', 'aware', 'logical_channel', 'select', 'command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently_select', 'basic_logical', 'channel', 'processing', 'command', 'application', 'scope', 'specification']","['command', 'include', 'manage', 'channel', 'command', 'card', 'aware', 'logical_channel', 'select_command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently_select', 'basic_logical_channel', 'processing', 'command', 'application', 'scope', 'specification']",0
