Newfoundland,PEI,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,BC
0.009316058,0.033204563,0.029069732,0.005023306,0.00948498,0.017128889,0.0263058,0.033648721,0.011554976,0.027503572
0.011972586,0.040661632,0.035088947,0.007427546,0.013791394,0.02278789,0.032085671,0.040984049,0.016032821,0.035370698
0.015261988,0.049423788,0.042095082,0.010767218,0.0195911,0.029890344,0.038880865,0.049566588,0.021867088,0.044973599
0.019298453,0.059631609,0.050192828,0.015307437,0.027205076,0.038665483,0.046810091,0.059526973,0.029326269,0.056545117
0.024207184,0.071422169,0.059486703,0.021349675,0.036954234,0.04934039,0.055993377,0.07099266,0.038686758,0.07031109
0.030123117,0.084924696,0.070078658,0.029223354,0.049136704,0.062129308,0.066549325,0.084084084,0.050219541,0.086480006
0.037188983,0.100255853,0.082065421,0.039272707,0.064003215,0.077221966,0.078591957,0.098910491,0.064174718,0.105231783
0.045552673,0.117514791,0.095535621,0.051839154,0.08173344,0.094771713,0.092227235,0.115565567,0.080764944,0.126706286
0.055363895,0.13677817,0.11056677,0.067240094,0.102416382,0.114884341,0.107549341,0.13412302,0.100149167,0.150992304
0.066770151,0.158095369,0.127222214,0.085745659,0.126037569,0.137608532,0.124636827,0.154632303,0.122418204,0.178117748
0.079912119,0.181484122,0.145548139,0.107555514,0.152474977,0.162928775,0.143548791,0.177114691,0.147583618,0.208041865
0.09491855,0.206926825,0.165570767,0.132778071,0.181504369,0.19076146,0.164321229,0.20155989,0.175571133,0.240650157
0.111900848,0.234367748,0.187293852,0.161414467,0.212813339,0.220954575,0.18696372,0.227923405,0.2062194,0.275752575
0.130947566,0.263711351,0.210696607,0.1933493,0.246022125,0.253291132,0.211456642,0.256124832,0.239284363,0.313085331
0.152119034,0.294821882,0.235732169,0.2283494,0.28070842,0.287496145,0.237749051,0.286047222,0.274448897,0.35231645
0.175442416,0.32752436,0.262326701,0.266071063,0.316433053,0.323246628,0.265757392,0.317537631,0.31133686,0.39305488
0.20090746,0.361606996,0.290379219,0.306075152,0.352763693,0.360183873,0.29536515,0.350408909,0.349530241,0.434862735
0.228463221,0.396825017,0.319762184,0.347848613,0.389294375,0.397927101,0.326423529,0.38444272,0.388587887,0.477270002
0.258015989,0.432905803,0.350322895,0.390830271,0.425659572,0.436087487,0.358753197,0.419393726,0.428064231,0.519790848
0.289428636,0.469555155,0.381885671,0.434438412,0.461542522,0.474281655,0.392147092,0.454994819,0.467526585,0.56194057
0.322521497,0.50646446,0.41425477,0.47809769,0.496678299,0.512143814,0.426374225,0.49096321,0.506569901,0.603252188
0.357074867,0.543318466,0.447217983,0.521263172,0.530852684,0.549335945,0.461184379,0.527007139,0.544828238,0.643291741
0.392833077,0.579803335,0.480550782,0.563439955,0.563898129,0.58555565,0.496313537,0.562832958,0.581982661,0.681671458
0.42951004,0.61561464,0.514020894,0.604197401,0.595688085,0.620541511,0.531489863,0.598152292,0.617765605,0.71806019
0.466796081,0.650464961,0.547393142,0.643177781,0.626130779,0.654076035,0.566439991,0.63268898,0.651962094,0.752190686
0.504365767,0.684090765,0.580434397,0.680099661,0.655163194,0.685986404,0.600895395,0.666185536,0.684408372,0.783863549
0.54188642,0.716258303,0.612918447,0.714756811,0.682745737,0.71614337,0.634598585,0.698408864,0.714988604,0.812947946
0.579026937,0.746768305,0.644630634,0.747013652,0.708857783,0.744458717,0.667308898,0.729155021,0.743630301,0.839379325
0.615466525,0.775459321,0.675372089,0.776798319,0.733494118,0.770881696,0.698807656,0.75825288,0.77029905,0.863154599
0.650902979,0.802209634,0.704963432,0.804094347,0.756662158,0.795394815,0.728902514,0.785566573,0.794993038,0.884325323
0.685060133,0.826937753,0.733247818,0.828931829,0.778379808,0.818009339,0.757430856,0.810996698,0.817737687,0.902989465
0.717694191,0.849601544,0.760093257,0.851378668,0.798673786,0.838760758,0.78426214,0.834480303,0.838580655,0.919282397
0.748598707,0.87019614,0.785394144,0.871532379,0.81757827,0.857704409,0.809299148,0.855989729,0.857587316,0.933367655
0.777608042,0.888750812,0.809071996,0.889512672,0.83513377,0.87491141,0.832478165,0.875530415,0.874836753,0.945427964
0.804599233,0.905325011,0.831075407,0.905454945,0.851386135,0.890464963,0.853768122,0.893137919,0.890418278,0.955656938
0.829492299,0.920003828,0.851379268,0.919504691,0.866385652,0.904457064,0.873168824,0.908874193,0.904428432,0.964251733
0.852249058,0.932893114,0.869983344,0.931812788,0.880186208,0.916985637,0.890708388,0.922823472,0.916968412,0.971406843
0.872870632,0.944114485,0.886910272,0.942531584,0.892844501,0.928152051,0.906440054,0.93508789,0.928141886,0.977309116
0.891393842,0.953800435,0.90220313,0.951811715,0.904419299,0.938059021,0.920438543,0.94578304,0.938053135,0.982133998
0.907886762,0.962089733,0.915922666,0.959799553,0.91497073,0.946808837,0.932796147,0.955033668,0.946805495,0.986042928
0.922443679,0.969123251,0.92814433,0.966635222,0.924559641,0.954501913,0.943618711,0.962969627,0.95450005,0.989181772
0.935179758,0.975040321,0.938955214,0.972451103,0.933246985,0.961235595,0.953021681,0.969722227,0.961234576,0.991680136
0.94622564,0.979975695,0.948451019,0.977370786,0.941093281,0.967103226,0.961126352,0.975421056,0.967102679,0.993651407
0.955722221,0.984057128,0.956733149,0.981508383,0.948158121,0.972193425,0.96805642,0.980191325,0.972193137,0.995193356
0.963815794,0.98740358,0.963905998,0.984968179,0.954499736,0.976589567,0.973934939,0.984151753,0.976589418,0.996389137
0.970653704,0.990123998,0.970074515,0.98784455,0.960174625,0.980369425,0.978881726,0.987412996,0.980369349,0.997308555
0.976380617,0.992316632,0.975342066,0.990222113,0.965237237,0.983604969,0.983011252,0.990076573,0.983604931,0.998009487
0.981135458,0.9940688,0.979808654,0.992176058,0.96973972,0.986362295,0.986431011,0.992234259,0.986362277,0.99853934
0.985049031,0.99545704,0.983569468,0.993772621,0.973731709,0.988701664,0.989240362,0.99396787,0.988701655,0.998936503
0.988242312,0.996547558,0.986713785,0.99506966,0.977260179,0.990677628,0.991529798,0.995349384,0.990677624,0.999231712
0.990825353,0.997396895,0.989324198,0.996117303,0.980369343,0.992339241,0.993380601,0.996441322,0.992339239,0.999449305
0.992896732,0.998052748,0.991476141,0.996958635,0.983100588,0.993730316,0.994864821,0.997297334,0.993730316,0.999608355
0.994543478,0.998554875,0.993237673,0.997630396,0.985492458,0.99488974,0.99604552,0.997962916,0.994889739,0.999723645
0.995841362,0.998936026,0.994669491,0.998163676,0.987580669,0.995851803,0.99697723,0.998476203,0.995851803,0.999806523
0.996855489,0.999222881,0.995825133,0.998584587,0.989398156,0.996646564,0.997706554,0.998868809,0.996646564,0.999865607
0.997641086,0.999436927,0.996751316,0.998914894,0.990975143,0.997300204,0.998272865,0.999166656,0.997300204,0.99990738
