Geography,Unemployment rate
Gettysburg PA Metro Area,0.036
San Angelo TX Metro Area,0.037
Lumberton NC Micro Area,0.165
Fond du Lac WI Metro Area,0.051
Olympia Tumwater WA Metro Area,0.096
Bluefield WV VA Micro Area,0.011
Los Angeles Long Beach Anaheim CA Metro Area,0.057
North Wilkesboro NC Micro Area,0.054
Adrian MI Micro Area,0.023
Decatur IL Metro Area,0.045
Allentown Bethlehem Easton PA NJ Metro Area,0.064
Farmington MO Micro Area,0.199
Phoenix Mesa Scottsdale AZ Metro Area,0.052
Elkhart Goshen IN Metro Area,0.032
Hilo HI Micro Area,0.058
Eau Claire WI Metro Area,0.028
Greeley CO Metro Area,0.039
Key West FL Micro Area,0.015
Racine WI Metro Area,0.069
Flagstaff AZ Metro Area,0.053
Danville VA Micro Area,0.094
Watertown Fort Drum NY Metro Area,0.052
Lima OH Metro Area,0.046
London KY Micro Area,0.069
Greenfield Town MA Micro Area,0.032
Bismarck ND Metro Area,0.007
Greenville NC Metro Area,0.087
Columbia SC Metro Area,0.065
Sandusky OH Micro Area,0.129
Roseburg OR Micro Area,0.077
Blacksburg Christiansburg Radford VA Metro Area,0.077
Tupelo MS Micro Area,0.06
Glenwood Springs CO Micro Area,0.034
Weirton Steubenville WV OH Metro Area,0.023
Kapaa HI Micro Area,0.072
York Hanover PA Metro Area,0.043
Marquette MI Micro Area,0.038
Seattle Tacoma Bellevue WA Metro Area,0.05
Charlottesville VA Metro Area,0.022
Morgantown WV Metro Area,0.038
Auburn NY Micro Area,0.081
New York Newark Jersey City NY NJ PA Metro Area,0.059
Billings MT Metro Area,0.032
Nacogdoches TX Micro Area,0.066
Bay City MI Metro Area,0.022
Owensboro KY Metro Area,0.014
Clarksburg WV Micro Area,0.169
Birmingham Hoover AL Metro Area,0.062
Cleveland TN Metro Area,0.091
Mount Vernon Anacortes WA Metro Area,0.052
Jamestown Dunkirk Fredonia NY Micro Area,0.072
Athens OH Micro Area,0.106
Dallas Fort Worth Arlington TX Metro Area,0.042
Columbus OH Metro Area,0.049
Wheeling WV OH Metro Area,0.05
Carbondale Marion IL Metro Area,0.063
Wooster OH Micro Area,0.002
Victoria TX Metro Area,0.044
Kankakee IL Metro Area,0.061
Missoula MT Metro Area,0.01
Salem OH Micro Area,0.124
Jackson MI Metro Area,0.057
Tallahassee FL Metro Area,0.072
Lawton OK Metro Area,0.02
Visalia Porterville CA Metro Area,0.068
Sevierville TN Micro Area,0.018
