Hours Worked,Comm1,Comm2,Comm3
0,0.002155338,0.003161122,0.003695726
0.05,0.00216283,0.003167608,0.003702585
0.1,0.002170339,0.003174099,0.003709448
0.15,0.002177864,0.003180596,0.003716315
0.2,0.002185406,0.003187098,0.003723185
0.25,0.002192965,0.003193605,0.003730059
0.3,0.00220054,0.003200118,0.003736936
0.35,0.002208132,0.003206637,0.003743817
0.4,0.00221574,0.003213161,0.003750701
0.45,0.002223365,0.003219691,0.003757589
0.5,0.002231006,0.003226225,0.00376448
0.55,0.002238664,0.003232766,0.003771375
0.6,0.002246339,0.003239311,0.003778273
0.65,0.00225403,0.003245862,0.003785174
0.7,0.002261737,0.003252418,0.003792079
0.75,0.002269462,0.00325898,0.003798987
0.8,0.002277202,0.003265546,0.003805898
0.85,0.002284959,0.003272118,0.003812813
0.9,0.002292733,0.003278696,0.003819731
0.95,0.002300523,0.003285278,0.003826652
1,0.002308329,0.003291866,0.003833577
1.05,0.002316152,0.003298458,0.003840504
1.1,0.002323991,0.003305056,0.003847435
1.15,0.002331847,0.003311659,0.003854368
1.2,0.002339719,0.003318267,0.003861305
1.25,0.002347608,0.00332488,0.003868245
1.3,0.002355512,0.003331499,0.003875188
1.35,0.002363434,0.003338122,0.003882133
1.4,0.002371371,0.00334475,0.003889082
1.45,0.002379325,0.003351383,0.003896034
1.5,0.002387295,0.003358021,0.003902988
1.55,0.002395282,0.003364664,0.003909946
1.6,0.002403285,0.003371312,0.003916906
1.65,0.002411304,0.003377965,0.003923869
1.7,0.002419339,0.003384623,0.003930835
1.75,0.002427391,0.003391286,0.003937804
1.8,0.002435459,0.003397953,0.003944775
1.85,0.002443543,0.003404625,0.003951749
1.9,0.002451643,0.003411302,0.003958726
1.95,0.002459759,0.003417984,0.003965705
2,0.002467892,0.00342467,0.003972687
2.05,0.00247604,0.003431362,0.003979672
2.1,0.002484205,0.003438057,0.003986659
2.15,0.002492386,0.003444758,0.003993648
2.2,0.002500583,0.003451463,0.00400064
2.25,0.002508796,0.003458173,0.004007635
2.3,0.002517025,0.003464887,0.004014632
2.35,0.00252527,0.003471606,0.004021631
2.4,0.002533532,0.003478329,0.004028633
2.45,0.002541809,0.003485057,0.004035637
2.5,0.002550102,0.00349179,0.004042643
2.55,0.002558411,0.003498527,0.004049652
2.6,0.002566736,0.003505268,0.004056663
2.65,0.002575077,0.003512014,0.004063676
2.7,0.002583434,0.003518764,0.004070691
2.75,0.002591806,0.003525518,0.004077709
2.8,0.002600195,0.003532277,0.004084728
2.85,0.002608599,0.00353904,0.00409175
2.9,0.00261702,0.003545808,0.004098774
2.95,0.002625456,0.003552579,0.004105799
3,0.002633907,0.003559355,0.004112827
3.05,0.002642375,0.003566135,0.004119857
3.1,0.002650858,0.00357292,0.004126889
3.15,0.002659357,0.003579708,0.004133922
3.2,0.002667871,0.003586501,0.004140958
3.25,0.002676401,0.003593298,0.004147995
3.3,0.002684947,0.003600099,0.004155034
3.35,0.002693509,0.003606904,0.004162075
3.4,0.002702086,0.003613713,0.004169118
3.45,0.002710678,0.003620526,0.004176162
3.5,0.002719286,0.003627343,0.004183208
3.55,0.00272791,0.003634164,0.004190256
3.6,0.002736549,0.003640989,0.004197305
3.65,0.002745203,0.003647817,0.004204356
3.7,0.002753873,0.00365465,0.004211409
3.75,0.002762558,0.003661487,0.004218463
3.8,0.002771259,0.003668327,0.004225518
3.85,0.002779975,0.003675171,0.004232575
3.9,0.002788706,0.003682019,0.004239634
3.95,0.002797453,0.003688871,0.004246694
4,0.002806215,0.003695726,0.004253755
4.05,0.002814992,0.003702585,0.004260817
4.1,0.002823784,0.003709448,0.004267881
4.15,0.002832591,0.003716315,0.004274946
4.2,0.002841414,0.003723185,0.004282013
4.25,0.002850251,0.003730059,0.00428908
4.3,0.002859104,0.003736936,0.004296149
4.35,0.002867972,0.003743817,0.004303219
4.4,0.002876855,0.003750701,0.00431029
4.45,0.002885752,0.003757589,0.004317362
4.5,0.002894665,0.00376448,0.004324435
4.55,0.002903593,0.003771375,0.00433151
4.6,0.002912535,0.003778273,0.004338585
4.65,0.002921493,0.003785174,0.004345661
4.7,0.002930465,0.003792079,0.004352738
4.75,0.002939452,0.003798987,0.004359816
4.8,0.002948454,0.003805898,0.004366894
4.85,0.00295747,0.003812813,0.004373974
4.9,0.002966502,0.003819731,0.004381054
4.95,0.002975547,0.003826652,0.004388135
5,0.002984608,0.003833577,0.004395217
5.05,0.002993683,0.003840504,0.0044023
5.1,0.003002773,0.003847435,0.004409383
5.15,0.003011877,0.003854368,0.004416466
5.2,0.003020996,0.003861305,0.004423551
5.25,0.003030129,0.003868245,0.004430636
5.3,0.003039276,0.003875188,0.004437721
5.35,0.003048438,0.003882133,0.004444807
5.4,0.003057615,0.003889082,0.004451893
5.45,0.003066805,0.003896034,0.00445898
5.5,0.00307601,0.003902988,0.004466067
